transcribed	total	nvowels
2822.544	2829.316	1575
2820.162	2829.316	479
1199.879	2867.08	1454
2399.403	2674.116	2010
2815.316	2836.4	3208
2820.311	2844.985	4776
2669.033	2700	3260
749.246	767.484	1080
2303.699	2318.904	1387
1239.344	2815.674	1670
1204.773	1758.13	1613
1200.952	2857.52	1774
1200.649	1865.083	1778
1201.418	1897.022	1695
1200.981	2873.93	1401
2397.723	2670.091	1237
902.118	2259.703	1055
902.006	2834.697	1479
943.678	952.404	1424
902.283	1668.368	1253
898.894	1892.634	1160
1003.972	1004.217	1451
3244.783	3526.089	2186
1494.257	1497.223	713
757.149	757.156	753
525.161	3690.487	845
2272.728	2279.965	3063
899.253	2744.678	970
5119.092	5147.323	5900
4508.7	4521.564	5568
2047.722	2047.814	3116
5381.134	6442.516	7522
2059.709	2063.79	2681
3441.023	3442.66	3434
901.462	903.535	1108
