speaker,word,plt_vclass,year,age,dob,frequency,dur,F1_n,F2_n,Diag
PH00-1-2-,take,ey,2000,52,1948,1891.04,0.08,-0.707541180827233,1.06873973382479,1.77628091465202
PH00-1-2-,lay,ey,2000,52,1948,58.24,0.07,-0.526733128723452,0.445756076680102,0.972489205403554
PH00-1-2-,main,ey,2000,52,1948,42.73,0.06,-0.0744001817648565,1.2508072823335,1.32520746409836
PH00-1-2-,paper,ey,2000,52,1948,103.35,0.189,-0.786996622409172,1.71678066721626,2.50377728962543
PH00-1-2-,saint,ey,2000,52,1948,17.92,0.07,-0.117568886246382,0.885752652242811,1.00332153848919
PH00-1-2-,saint,ey,2000,52,1948,17.92,0.07,-0.188891093650642,1.51057537553405,1.69946646918469
PH00-1-2-,face,ey,2000,52,1948,289.16,0.21,-0.51171792716466,0.921844325368905,1.43356225253356
PH00-1-2-,take,ey,2000,52,1948,1891.04,0.08,-0.910246401870919,1.71310253492316,2.62334893679408
PH00-1-2-,make,ey,2000,52,1948,1387.75,0.079,0.0131884939947609,0.919315609417395,0.906127115422634
PH00-1-2-,changed,ey,2000,52,1948,100.94,0.25,0.320374492551705,1.69057397462789,1.37019948207619
PH00-1-2-,changed,ey,2000,52,1948,100.94,0.07,0.0263267953587036,1.94666393553534,1.92033714017664
PH00-1-2-,basically,ey,2000,52,1948,26.02,0.12,-0.379709280126951,0.705064403344018,1.08477368347097
PH00-1-2-,saint,ey,2000,52,1948,17.92,0.1,-0.775109587841796,1.51034549226573,2.28545508010753
PH00-1-2-,parade,ey,2000,52,1948,12.88,0.16,-0.869580230982526,0.561387360644597,1.43096759162712
PH00-1-2-,came,ey,2000,52,1948,463.73,0.05,-0.202029395014585,1.73517132868179,1.93720072369638
PH00-1-2-,take,ey,2000,52,1948,1891.04,0.09,-0.142594222177701,1.11057848865886,1.25317271083656
PH00-1-2-,eighth,ey,2000,52,1948,6.86,0.181,-1.2637292719008,1.4388517958185,2.7025810677193
PH00-1-2-,place,ey,2000,52,1948,602.67,0.14,-0.726310182775723,0.197482146895502,0.923792329671225
PH00-1-2-,eighth,ey,2000,52,1948,6.86,0.14,-0.158860690533059,0.184838567137953,0.343699257671012
PH00-1-2-,eighty,ey,2000,52,1948,2.53,0.11,-1.09731078795753,2.01838751525089,3.11569830320842
PH00-1-2-,stay,ey,2000,52,1948,515.65,0.159,-0.531112562511433,0.843454130872101,1.37456669338353
PH00-1-2-,came,ey,2000,52,1948,463.73,0.12,0.160837975989545,1.03218829416206,0.871350318172515
PH00-1-2-,neighborhood,ey,2000,52,1948,36.69,0.121,-0.0687694811803098,1.42528868298768,1.49405816416799
PH00-1-2-,baby,ey,2000,52,1948,509.37,0.159,-0.539245796689111,0.510353275077762,1.04959907176687
PH00-1-2-,change,ey,2000,52,1948,240.35,0.17,-0.409114049846252,1.58482767120111,1.99394172104736
PH00-1-2-,saint,ey,2000,52,1948,17.92,0.051,-0.122573953432646,1.07678564821596,1.19935960164861
PH00-1-2-,baby,ey,2000,52,1948,509.37,0.19,-0.875210931567073,1.57724152334658,2.45245245491365
PH00-1-2-,organization,ey,2000,52,1948,13.1,0.111,-0.882092898948185,0.824833586138256,1.70692648508644
PH00-1-2-,baby,ey,2000,52,1948,509.37,0.14,-0.542999597078809,1.09057864431511,1.63357824139392
PH00-1-2-,age,ey,2000,52,1948,79.2,0.12,-0.770104520655532,1.952181133975,2.72228565463053
PH00-1-2-,made,ey,2000,52,1948,561.29,0.11,-0.302130738739862,1.28207140682489,1.58420214556475
PH00-1-2-,saint,ey,2000,52,1948,17.92,0.11,-0.159486323931342,0.771270784619911,0.930757108551253
PH00-1-2-,made,ey,2000,52,1948,561.29,0.14,-0.783242822019474,1.28483000604472,2.06807282806419
PH00-1-2-,able,ey,2000,52,1948,159.9,0.08,-0.14009168858457,0.706443702953933,0.846535391538503
PH00-1-2-,baby,ey,2000,52,1948,509.37,0.2,-0.631839539634993,1.82735451927774,2.45919405891273
PH00-1-2-,making,ey,2000,52,1948,222.53,0.07,-0.715048781606629,0.881384870144748,1.59643365175138
PH00-1-2-,take,ey,2000,52,1948,1891.04,0.08,-1.00409141161337,1.57885070622482,2.58294211783819
PH00-1-2-,grade,ey,2000,52,1948,29.27,0.11,-0.940276804988503,0.812419889649026,1.75269669463753
PH00-1-2-,basically,ey,2000,52,1948,26.02,0.11,-0.695654146259857,1.30253101770529,1.99818516396515
PH00-1-2-,saying,ey,2000,52,1948,291.65,0.15,0.743302669791,1.01379763269653,0.27049496290553
PH00-1-2-,eighth,ey,2000,52,1948,6.86,0.14,-0.312140873112389,1.0218435470877,1.33398442020009
PH00-1-2-,frame,ey,2000,52,1948,14.1,0.07,0.0707467666367954,0.0567935866842289,-0.0139531799525665
PH00-1-2-,taking,ey,2000,52,1948,240.45,0.09,-0.310889606315823,0.505295843174743,0.816185449490566
PH00-1-2-,great,ey,2000,52,1948,820.86,0.08,-0.751335518707042,1.31425506438956,2.0655905830966
PH00-1-2-,able,ey,2000,52,1948,159.9,0.08,-0.503584692986982,0.875637788436771,1.37922248142375
PH00-1-2-,neighborhood,ey,2000,52,1948,36.69,0.12,-0.0149650089279733,0.901844481025146,0.916809489953119
PH00-1-2-,taken,ey,2000,52,1948,138.65,0.17,-0.117568886246382,1.35885241844346,1.47642130468984
PH00-1-2-,made,ey,2000,52,1948,561.29,0.12,-0.706915547428951,1.71678066721626,2.42369621464521
PH00-1-2-,crazy,ey,2000,52,1948,272.27,0.06,-1.39010721835397,1.0085103175252,2.39861753587917
PH00-1-2-,date,ey,2000,52,1948,141.53,0.219,-0.648731641388633,1.41057615381526,2.05930779520389
PH00-1-2-,make,ey,2000,52,1948,1387.75,0.211,-0.485441324436775,1.29586440292404,1.78130572736081
PH00-1-2-,maybe,ey,2000,52,1948,926.45,0.14,-0.553009731451337,0.787592496670565,1.3406022281219
PH00-1-2-,make,ey,2000,52,1948,1387.75,0.12,-0.806391257755945,1.22712930569664,2.03352056345258
PH00-1-2-,grade,ey,2000,52,1948,29.27,0.171,-0.991578743647707,0.879775687266515,1.87135443091422
PH00-1-2-,gave,ey,2000,52,1948,243.69,0.15,-1.0985620547541,1.4556332744058,2.5541953291599
PH00-1-2-,take,ey,2000,52,1948,1891.04,0.099,-0.289618070774202,0.862994208679222,1.15261227945342
PH00-1-2-,engage,ey,2000,52,1948,6.16,0.129,-0.90399006788809,1.55563249612459,2.45962256401268
PH00-1-2-,changed,ey,2000,52,1948,100.94,0.099,-0.150101822957097,1.46988603704158,1.61998785999868
PH00-1-2-,saint,ey,2000,52,1948,17.92,0.07,-0.868954597584243,1.23908323564923,2.10803783323347
PH00-1-2-,stay,ey,2000,52,1948,515.65,0.15,-0.690649079073593,0.799546426623158,1.49019550569675
PH00-1-2-,became,ey,2000,52,1948,47.75,0.05,-0.106307485077289,1.25977272979794,1.36608021487523
PH00-1-2-,basically,ey,2000,52,1948,26.02,0.119,-0.516722994350924,0.884833119169534,1.40155611352046
PH00-1-2-,maybe,ey,2000,52,1948,926.45,0.15,-0.725058915979157,1.47333428606636,2.19839320204552
PH00-1-2-,basically,ey,2000,52,1948,26.02,0.13,-0.214542062980244,0.49357179649047,0.708113859470714
PH00-1-2-,neighborhood,ey,2000,52,1948,36.69,0.11,-0.78449408881604,0.83104043438287,1.61553452319891
PH00-1-2-,neighborhood,ey,2000,52,1948,36.69,0.17,-0.287741170579353,1.37885226278722,1.66659343336657
PH00-1-2-,came,ey,2000,52,1948,463.73,0.07,-0.278982303003391,1.56023016149097,1.83921246449436
PH00-1-2-,change,ey,2000,52,1948,240.35,0.15,-0.390970681296045,1.80689490839734,2.19786558969338
PH00-1-2-,making,ey,2000,52,1948,222.53,0.09,-0.586168301560335,1.27517490877532,1.86134321033565
PH00-1-2-,gravy,ey,2000,52,1948,5.27,0.13,-1.08479811999187,0.928740823418477,2.01353894341035
PH00-1-2-,case,ey,2000,52,1948,282.41,0.06,-1.61408397493927,1.5533336634414,3.16741763838067
PH00-1-2-,grade,ey,2000,52,1948,29.27,0.17,-0.792001689595436,0.620927127139237,1.41292881673467
PH00-1-2-,saint,ey,2000,52,1948,17.92,0.07,0.142068974041055,1.03356759377197,0.891498619730915
PH00-1-2-,came,ey,2000,52,1948,463.73,0.151,-0.38784251430463,0.533341601909669,0.921184116214299
PH00-1-2-,great,ey,2000,52,1948,820.86,0.099,-1.2418321029609,0.608053664113368,1.84988576707427
PH00-1-2-,saint,ey,2000,52,1948,17.92,0.08,-0.265218368241166,1.11126813846382,1.37648650670499
PH00-1-2-,saint,ey,2000,52,1948,17.92,0.169,0.280333955061594,0.690351874171597,0.410017919110003
PH00-1-2-,same,ey,2000,52,1948,417.18,0.281,0.342271661491609,1.22781895550159,0.885547294009981
PH00-1-2-,late,ey,2000,52,1948,269.73,0.1,-0.0193444427159537,1.27034736014062,1.28969180285657
PH00-1-2-,cane,ey,2000,52,1948,8.33,0.159,0.201504146877938,1.35724323556523,1.15573908868729
PH00-1-2-,situation,ey,2000,52,1948,82.49,0.11,0.603160788575613,1.61310331320436,1.00994252462875
PH00-1-2-,parade,ey,2000,52,1948,12.88,0.2,1.70677810314679,0.641846504556273,-1.06493159859052
